ll
m5_6_6 	16384 	16384 	898.15
m5_6_7 	16384 	16384 	455.31
m5_6_8 	16384 	16384 	270.75
m5_6_9 	16384 	16384 	33.56
m5_6_10 	34 	34 	311.79
m5_7_1 	16384 	16384 	72.09
m5_7_2 	16384 	16384 	264.12
m5_7_3 	36 	36 	2882.18
m5_7_4 	16384 	16384 	1649.40
m5_7_5 	28 	28 	635.40
m5_7_6 	16384 	16384 	48.00
m5_7_7 	29 	29 	566.84
m5_7_8 	35 	35 	246.78
m5_7_9 	16384 	16384 	199.88
m5_7_10 	16384 	16384 	312.06
m5_8_1 	40 	40 	163.03
m5_8_2 	35 	35 	487.21
m5_8_3 	16384 	16384 	43.25
m5_8_4 	16384 	16384 	31.31
m5_8_5 	16384 	16384 	124.72
m5_8_6 	16384 	16384 	65.97
m5_8_7 	16384 	16384 	190.28
m5_8_8 	16384 	16384 	231.28
m5_8_9 	16384 	16384 	266.07
m5_8_10 	16384 	16384 	82.56
m5_9_1 	16384 	16384 	0.03
m5_9_2 	16384 	16384 	0.03
m5_9_3 	16384 	16384 	0.00
m5_9_4 	20 	20 	24.00
m5_9_5 	25 	25 	2.34
m5_9_6 	23 	23 	7.41
m5_9_7 	29 	29 	3.13
m5_9_8 	16384 	16384 	0.00
m5_9_9 	16384 	16384 	0.03
m5_9_10 	30 	30 	11.94
m5_10_1 	15 	15 	0.50
m5_10_2 	15 	15 	0.56
m5_10_3 	17 	17 	12.78
m5_10_4 	19 	19 	3.00
m5_10_5 	13 	13 	0.25
m5_10_6 	17 	17 	0.22
m5_10_7 	23 	23 	1.81
m5_10_8 	16 	16 	0.47
m5_10_9 	13 	13 	0.62
m5_10_10 	15 	15 	2.12
m5_11_1 	16 	16 	2.97
m5_11_2 	21 	21 	1.25
m5_11_3 	21 	21 	0.28
m5_11_4 	16 	16 	0.29
m5_11_5 	15 	15 	0.31
m5_11_6 	13 	13 	1.10
m5_11_7 	13 	13 	0.41
m5_11_8 	18 	18 	0.81
m5_11_9 	14 	14 	0.40
m5_11_10 	18 	18 	0.25
m5_12_1 	15 	15 	0.25
m5_12_2 	11 	11 	0.22
m5_12_3 	13 	13 	0.75
m5_12_4 	14 	14 	0.62
m5_12_5 	8 	8 	1.47
m5_12_6 	10 	10 	3.87
m5_12_7 	19 	19 	0.34
m5_12_8 	17 	17 	2.31
m5_12_9 	19 	19 	1.66
m5_12_10 	14 	14 	0.78
m5_13_1 	27 	27 	95.72
m5_13_2 	22 	22 	524.53
m5_13_3 	23 	23 	41.71
m5_13_4 	22 	22 	5.75
m5_13_5 	25 	25 	526.10
m5_13_6 	21 	21 	241.97
m5_13_7 	26 	26 	31.88
m5_13_8 	22 	22 	8.57
m5_13_9 	24 	24 	22.34
m5_13_10 	32 	32 	59.47
m5_14_1 	19 	19 	0.38
m5_14_2 	15 	15 	0.53
m5_14_3 	16 	16 	0.57
m5_14_4 	17 	17 	0.88
m5_14_5 	19 	19 	4.53
m5_14_6 	18 	18 	12.47
m5_14_7 	15 	15 	3.82
m5_14_8 	18 	18 	0.78
m5_14_9 	18 	18 	16.44
m5_14_10 	13 	13 	0.91
m5_15_1 	13 	13 	0.25
m5_15_2 	16 	16 	0.78
m5_15_3 	15 	15 	0.50
m5_15_4 	14 	14 	1.00
m5_15_5 	13 	13 	11.00
m5_15_6 	13 	13 	0.32
m5_15_7 	19 	19 	0.59
m5_15_8 	13 	13 	2.12
m5_15_9 	15 	15 	1.53
m5_15_10 	19 	19 	0.19
m5_16_1 	12 	12 	1.66
m5_16_2 	18 	18 	0.22
m5_16_3 	12 	12 	0.19
m5_16_4 	15 	15 	0.97
m5_16_5 	16 	16 	0.25
m5_16_6 	11 	11 	1.47
m5_16_7 	12 	12 	0.60
m5_16_8 	15 	15 	0.41
m5_16_9 	18 	18 	16.97
m5_16_10 	17 	17 	0.44
m5_17_1 	20 	20 	9.81
m5_17_2 	17 	17 	0.47
m5_17_3 	33 	33 	0.40
m5_17_4 	16384 	16384 	0.00
m5_17_5 	28 	28 	3.63
m5_17_6 	16384 	16384 	0.03
m5_17_7 	16384 	16384 	0.03
m5_17_8 	23 	23 	2.13
m5_17_9 	27 	27 	135.75
m5_17_10 	16 	16 	1.46
m5_18_1 	13 	13 	0.31
m5_18_2 	19 	19 	0.34
m5_18_3 	19 	19 	0.35
m5_18_4 	13 	13 	0.28
m5_18_5 	14 	14 	0.75
m5_18_6 	17 	17 	0.47
m5_18_7 	16 	16 	0.50
m5_18_8 	16 	16 	0.97
m5_18_9 	12 	12 	0.31
m5_18_10 	15 	15 	0.41
m5_19_1 	13 	13 	0.35
m5_19_2 	14 	14 	0.38
m5_19_3 	17 	17 	0.31
m5_19_4 	20 	20 	0.37
m5_19_5 	13 	13 	0.34
m5_19_6 	16 	16 	0.38
m5_19_7 	20 	20 	0.34
m5_19_8 	21 	21 	0.47
m5_19_9 	21 	21 	0.34
m5_19_10 	13 	13 	0.56
m5_20_1 	15 	15 	0.38
m5_20_2 	12 	12 	0.53
m5_20_3 	17 	17 	2.06
m5_20_4 	14 	14 	2.78
m5_20_5 	16 	16 	0.31
m5_20_6 	12 	12 	5.22
m5_20_7 	12 	12 	3.72
m5_20_8 	16 	16 	0.69
m5_20_9 	14 	14 	0.47
